# hex,owner,ladd — generated by scripts/gen-le-aircraft.py, do not edit
a03f75,DEPARTMENT OF HOMELAND SECURITY,0
a03fe7,MESA POLICE DEPT,0
a0400f,SALT RIVER POLICE DEPARTMENT,0
a04064,MINNESOTA STATE PATROL,0
a0439e,MISSOURI STATE HIGHWAY PATROL,0
a043a9,DEPARTMENT OF HOMELAND SECURITY,0
a043c6,SALT RIVER POLICE DEPARTMENT,0
a0441b,DELAWARE STATE POLICE,0
a046c3,LA PAZ CO SHERIFFS DEPT,0
a04742,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,0
a04755,MESA POLICE DEPT,0
a049fc,ADAMS COUNTY SHERIFFS OFFICE,0
a04a1e,POLICE SCIENCE INSTITUTE INC,0
a04b0c,MESA POLICE DEPT,0
a04b7f,PINAL COUNTY SHERIFFS OFFICE,0
a04b89,MINNESOTA STATE PATROL,0
a04db3,ADAMS COUNTY SHERIFFS OFFICE,0
a04ec3,MESA POLICE DEPT,0
a04ee5,CITY OF NEW YORK  DEPARTMENT OF ENVIRONMENTAL PR,0
a05216,STATE OF OHIO  DEPT OF PUBLIC SAFETY  OHIO STATE,0
a05293,CITY OF NEWARK  N J POLICE DEPT,0
a052f7,NEW YORK STATE POLICE  AVIATION UNIT,1
a053e1,BAXTER COUNTY SHERIFFS DEPARTMENT,0
a054f5,CITY OF NEW YORK  DEPARTMENT OF ENVIRONMENTAL PR,0
a05545,ST CHARLES PARISH SHERIFFS OFFICE,0
a0584c,TOMBALL POLICE DEPARTMENT,0
a05868,OSCEOLA CO SHERIFF OFFICE,0
a05f83,PALM BEACH COUNTY SHERIFFS OFFICE,0
a06006,NORTH CAROLINA STATE HIGHWAY PATROL,0
a0642c,MINNESOTA STATE PATROL,0
a0644d,TEXAS DEPARTMENT OF PUBLIC SAFETY,0
a06653,AUSTIN POLICE DEPT,0
a0669e,DALLAS POLICE DEPT.,0
a0677d,ALBUQUERQUE POLICE DEPARTMENT,0
a067e3,INDIANA STATE POLICE,0
a06aae,HENRY COUNTY SHERIFF'S OFFICE,0
a07232,DEPARTMENT OF HOMELAND SECURITY,0
a07642,MESA POLICE DEPT,0
a076bf,NEW YORK STATE POLICE,1
a07834,ST JOHNS COUNTY SHERIFFS OFFICE,0
a07a6c,SNOHOMISH COUNTY SHERIFFS OFFICE,0
a07a76,NEW YORK STATE POLICE,1
a07c86,PUERTO RICO POLICE DEPARTMENT,1
a07da8,DEPARTMENT OF HOMELAND SECURITY  US CUSTOMS & BO,0
a0807c,BENTON COUNTY SHERIFFS DEPARTMENT,0
a083c0,MESA POLICE DEPT,0
a0843d,INDIANA STATE POLICE,0
a08577,STATE OF ALASKA  DEPT OF PUBLIC SAFETY,1
a08ba1,BENTON COUNTY SHERIFFS OFFICE,0
a095ef,CALIFORNIA HIGHWAY PATROL  OFFICE OF AIR OPERATI,0
a0967b,PUERTO RICO POLICE DEPARTMENT,1
a09a32,PUERTO RICO POLICE DEPARTMENT,1
